phone,name,risk,alias,network_role
9840736840,"Priya Singh",CRITICAL,Tiger,SIM_PROVIDER
9814778367,"Meena Patel",MEDIUM,Mastermind,CALLER
9827195877,"Priya Nair",CRITICAL,Mastermind,HACKER
9839723733,"Rajesh Yadav",MEDIUM,Ghost,FINANCIER
9877163347,"Meena Menon",CRITICAL,Mastermind,KINGPIN
9859900565,"Priya Gupta",LOW,Money King,KINGPIN
9871225528,"Suresh Singh",LOW,Shadow,HACKER
9865126809,"Geeta Kumar",LOW,Leopard,RECRUITER
9892586743,"Sunita Menon",MEDIUM,Tech Wizard,BROKER
9878439847,"Imran Kumar",LOW,Leopard,HACKER
9820207535,"Sanjay Khan",LOW,Money King,ENFORCER
9846530414,"Priya Kumar",LOW,The Don,CALLER
9841089917,"Neha Joshi",HIGH,Hawk,HACKER
9827582921,"Vikram Sharma",HIGH,Tiger,HACKER
9860710078,"Rahul Reddy",LOW,Tiger,SIM_PROVIDER
9811050548,"Abdul Mishra",MEDIUM,The Don,FINANCIER
9866860993,"Sunita Nair",CRITICAL,Hawk,CALLER
9898136078,"Deepak Khan",LOW,Mastermind,CONNECTOR
9882980476,"Rajesh Kumar",CRITICAL,Tiger,BROKER
9871343234,"Deepak Kumar",LOW,Tiger,ENFORCER
9887573036,"Rahul Rao",CRITICAL,Leopard,SIM_PROVIDER
9822179182,"Sunita Nair",CRITICAL,Fox,ENFORCER
9867563479,"Farooq Bhat",CRITICAL,Tech Wizard,MULE
9884219598,"Kiran Kumar",CRITICAL,Tiger,ENFORCER
9853987175,"Imran Patel",LOW,Tech Wizard,ENFORCER
9882781222,"Suresh Bhat",MEDIUM,Leopard,MULE
9826892227,"Kiran Menon",LOW,The Don,KINGPIN
9874360744,"Pooja Verma",LOW,Ghost,CALLER
9881829141,"Pooja Sharma",CRITICAL,Shadow,KINGPIN
9874089888,"Deepak Khan",CRITICAL,Tech Wizard,HACKER
9883540882,"Sunita Sharma",HIGH,Fox,SIM_PROVIDER
9837626187,"Geeta Verma",LOW,Mastermind,MULE
9853634125,"Meena Kumar",MEDIUM,Fox,MULE
9894309620,"Meena Singh",CRITICAL,Tech Wizard,HACKER
9893696316,"Neha Joshi",HIGH,Mastermind,MULE
9852359184,"Zara Mishra",LOW,Tech Wizard,KINGPIN
9872618635,"Meena Gupta",MEDIUM,Ghost,KINGPIN
9815524117,"Suresh Bhat",CRITICAL,Tech Wizard,MULE
9891895016,"Amit Reddy",LOW,Ghost,BROKER
9846761173,"Sanjay Kumar",CRITICAL,Shadow,RECRUITER
9838366990,"Arun Patel",HIGH,Shadow,CONNECTOR
9831354470,"Kiran Yadav",MEDIUM,Hawk,CALLER
9878767482,"Neha Bhat",MEDIUM,Tiger,RECRUITER
9886879226,"Vikram Reddy",CRITICAL,The Don,CONNECTOR
9858696973,"Kiran Kumar",LOW,Ghost,KINGPIN
9874274768,"Sunita Verma",LOW,Tech Wizard,HACKER
9856585587,"Sunita Kumar",LOW,Money King,SIM_PROVIDER
9831969314,"Geeta Rao",HIGH,Hawk,ENFORCER
9837821151,"Pooja Gupta",LOW,Tiger,HACKER
9834562758,"Geeta Nair",MEDIUM,Leopard,CONNECTOR
9888241494,"Meena Rao",LOW,Hawk,BROKER
9848097442,"Arun Singh",LOW,The Don,SIM_PROVIDER
9839907523,"Sanjay Joshi",LOW,Fox,RECRUITER
9865671458,"Suresh Singh",MEDIUM,Ghost,HACKER
9860159370,"Arun Rao",HIGH,Money King,CONNECTOR
9871519287,"Pooja Joshi",LOW,Money King,SIM_PROVIDER
9843952751,"Priya Menon",MEDIUM,Hawk,ENFORCER
9832847890,"Amit Menon",LOW,Mastermind,CALLER
9844171211,"Priya Khan",MEDIUM,Hawk,FINANCIER
9812291663,"Imran Singh",HIGH,Ghost,CALLER
